x,y,z,yaw,velocity,change_flag
621.7745,-5133.7832,0.0000,0.2748,26.0153,0
622.7480,-5133.5097,0.0000,0.2748,26.2057,0
623.7300,-5133.2474,0.0000,0.2752,26.3323,0
624.7206,-5132.9629,0.0000,0.2753,26.5117,0
625.7197,-5132.6896,0.0000,0.2757,26.6793,0
626.7189,-5132.4051,0.0000,0.2761,26.8407,0
629.1014,-5131.7379,0.0000,0.2773,27.2436,0
630.1261,-5131.4535,0.0000,0.2778,27.3960,0
631.2192,-5131.1473,0.0000,0.2778,27.5197,0
632.1842,-5130.8738,0.0000,0.2784,27.6661,0
633.2175,-5130.5784,0.0000,0.2790,27.8427,0
634.1910,-5130.3049,0.0000,0.2796,27.9679,0
635.1645,-5130.0314,0.0000,0.2800,28.0978,0
636.2063,-5129.7361,0.0000,0.2801,28.1853,0
637.1883,-5129.4626,0.0000,0.2803,28.3000,0
638.1704,-5129.1781,0.0000,0.2800,28.4192,0
641.2191,-5128.3138,0.0000,0.2777,28.7768,0
642.3035,-5128.0186,0.0000,0.2763,28.8915,0
643.3881,-5127.7123,0.0000,0.2742,29.0381,0
644.4726,-5127.4171,0.0000,0.2723,29.1832,0
645.5656,-5127.1109,0.0000,0.2702,29.2849,0
646.6671,-5126.8157,0.0000,0.2681,29.3637,0
647.7687,-5126.5095,0.0000,0.2663,29.4755,0
648.8788,-5126.2144,0.0000,0.2648,29.5959,0
649.9889,-5125.9193,0.0000,0.2644,29.7212,0
651.0989,-5125.6242,0.0000,0.2646,29.7877,0
654.1473,-5124.8154,0.0000,0.2677,29.9707,0
655.1891,-5124.5311,0.0000,0.2692,30.0353,0
656.2309,-5124.2469,0.0000,0.2706,30.0770,0
657.3581,-5123.9296,0.0000,0.2721,30.1129,0
658.4084,-5123.6454,0.0000,0.2738,30.1853,0
659.4588,-5123.3611,0.0000,0.2750,30.2107,0
660.5945,-5123.0439,0.0000,0.2761,30.3132,0
661.6449,-5122.7486,0.0000,0.2773,30.3704,0
662.7038,-5122.4533,0.0000,0.2778,30.4323,0
663.6773,-5122.1798,0.0000,0.2778,30.4867,0
667.0931,-5121.2172,0.0000,0.2777,30.5636,0
