x,y,z,yaw,velocity,change_flag
770.0626,-5112.8839,0.0000,0.1873,20.2715,0
771.1552,-5112.6886,0.0000,0.1659,19.7503,0
772.2221,-5112.5265,0.0000,0.1394,19.2084,0
773.2632,-5112.3976,0.0000,0.1093,18.7348,0
774.3383,-5112.3021,0.0000,0.0750,18.1929,0
775.4219,-5112.2289,0.0000,0.0407,17.6403,0
777.1449,-5112.2249,0.0000,-0.0330,16.8044,0
778.1511,-5112.2845,0.0000,-0.0834,16.3122,0
779.1657,-5112.3886,0.0000,-0.1406,15.7520,0
780.1800,-5112.5704,0.0000,-0.2077,15.2827,0
781.2281,-5112.8299,0.0000,-0.2790,14.7939,0
782.1907,-5113.1336,0.0000,-0.3559,14.3441,0
783.7657,-5113.8504,0.0000,-0.5026,13.6302,0
784.6336,-5114.3757,0.0000,-0.5862,13.2189,0
785.4500,-5114.9673,0.0000,-0.6703,12.9082,0
786.2489,-5115.6587,0.0000,-0.7643,12.5351,0
787.4886,-5117.0401,0.0000,-0.9273,12.0018,0
788.0736,-5117.8972,0.0000,-1.0147,12.1323,0
788.5732,-5118.7872,0.0000,-1.1012,12.2739,0
789.0043,-5119.7213,0.0000,-1.1697,12.4581,0
789.3927,-5120.6885,0.0000,-1.2166,12.6865,0
789.7553,-5121.7001,0.0000,-1.2421,12.9419,0
790.1681,-5122.9560,0.0000,-1.2475,13.6899,0
790.4710,-5123.9784,0.0000,-1.2811,14.3344,0
790.7570,-5124.9452,0.0000,-1.2778,14.8502,0
791.0515,-5125.9232,0.0000,-1.2753,15.4050,0
791.3629,-5126.9567,0.0000,-1.2742,15.8428,0
791.9436,-5128.8682,0.0000,-1.2728,16.7105,0
792.2549,-5129.9017,0.0000,-1.2724,17.1765,0
792.5663,-5130.9241,0.0000,-1.2722,17.6005,0
792.8861,-5131.9798,0.0000,-1.2722,18.0278,0
793.1890,-5133.0022,0.0000,-1.2726,18.4001,0
793.4920,-5133.9913,0.0000,-1.2730,18.7435,0
793.7949,-5135.0026,0.0000,-1.2736,19.0706,0
794.5101,-5137.3808,0.0000,-1.2738,19.7846,0
794.8214,-5138.4365,0.0000,-1.2753,20.0907,0
795.1159,-5139.4145,0.0000,-1.2761,20.3613,0
795.4019,-5140.4035,0.0000,-1.2767,20.6862,0
795.7048,-5141.4037,0.0000,-1.2774,20.9526,0
795.9992,-5142.4149,0.0000,-1.2780,21.1829,0
796.2852,-5143.3817,0.0000,-1.2784,21.4123,0
797.0256,-5145.8710,0.0000,-1.2801,21.9868,0
797.3369,-5146.9268,0.0000,-1.2807,22.2067,0
797.6312,-5147.9380,0.0000,-1.2813,22.4150,0
797.9087,-5148.9159,0.0000,-1.2818,22.6697,0
798.1947,-5149.8827,0.0000,-1.2820,22.8538,0
798.4975,-5150.9273,0.0000,-1.2824,23.0454,0
798.8003,-5151.9719,0.0000,-1.2826,23.1917,0
799.1116,-5153.0276,0.0000,-1.2824,23.3621,0
799.9273,-5155.8502,0.0000,-1.2830,23.3001,0
800.2301,-5156.8948,0.0000,-1.2830,23.1296,0
800.5160,-5157.8838,0.0000,-1.2832,22.9213,0
800.8021,-5158.8506,0.0000,-1.2834,22.6287,0
801.0796,-5159.8174,0.0000,-1.2834,22.2795,0
801.3655,-5160.8175,0.0000,-1.2836,21.9069,0
801.6682,-5161.8732,0.0000,-1.2838,21.5777,0
801.9625,-5162.9066,0.0000,-1.2841,21.1703,0
802.2652,-5163.9623,0.0000,-1.2845,20.7432,0
802.7950,-5165.8070,0.0000,-1.2857,19.9824,0
803.0978,-5166.8516,0.0000,-1.2861,19.4592,0
803.4006,-5167.8850,0.0000,-1.2866,19.0437,0
803.6865,-5168.8852,0.0000,-1.2872,18.6333,0
803.9725,-5169.8742,0.0000,-1.2876,18.2272,0
804.2500,-5170.8410,0.0000,-1.2882,17.9042,0
804.5359,-5171.8300,0.0000,-1.2885,17.5223,0
805.1497,-5173.9969,0.0000,-1.2899,16.7963,0
805.4272,-5174.9747,0.0000,-1.2905,16.5050,0
805.7214,-5176.0193,0.0000,-1.2922,16.1337,0
805.9988,-5177.0083,0.0000,-1.2939,15.8635,0
806.2761,-5178.0195,0.0000,-1.2960,15.6040,0
806.5536,-5179.0084,0.0000,-1.2979,15.3521,0
806.9484,-5180.4752,0.0000,-1.3020,15.0703,0
807.2088,-5181.4530,0.0000,-1.3050,15.1492,0
807.4861,-5182.4864,0.0000,-1.3064,15.5221,0
807.7465,-5183.4531,0.0000,-1.3054,15.8314,0
808.0152,-5184.4864,0.0000,-1.3048,16.1542,0
808.2924,-5185.5309,0.0000,-1.3039,16.3353,0
808.5697,-5186.5421,0.0000,-1.3025,16.4858,0
808.9309,-5187.9088,0.0000,-1.3014,16.5869,0
809.2083,-5188.8978,0.0000,-1.3006,16.6499,0
809.4687,-5189.8756,0.0000,-1.3010,16.6652,0
809.7545,-5190.8979,0.0000,-1.3020,16.6669,0
810.0149,-5191.8868,0.0000,-1.3008,16.5611,0
810.2839,-5192.8535,0.0000,-1.2991,16.3694,0
810.8302,-5194.8315,0.0000,-1.2977,15.7926,0
811.1075,-5195.8427,0.0000,-1.2970,15.5014,0
811.3849,-5196.8316,0.0000,-1.2943,15.2418,0
811.6623,-5197.8317,0.0000,-1.2901,14.9023,0
811.9652,-5198.8541,0.0000,-1.2859,14.5978,0
812.2427,-5199.8209,0.0000,-1.2814,14.1882,0
812.6211,-5201.1322,0.0000,-1.2757,13.0201,0
812.9240,-5202.1434,0.0000,-1.2713,11.4609,0
813.2186,-5203.1214,0.0000,-1.2671,9.2220,0
813.5132,-5204.0772,0.0000,-1.2632,5.8409,0
