x,y,z,yaw,velocity,change_flag
1153.8704,-11.3532,0.0000,3.1172,27.2648,0
1150.5295,-11.2619,0.0000,3.1176,27.4847,0
1149.4726,-11.2465,0.0000,3.1178,27.4603,0
1148.3305,-11.2086,0.0000,3.1178,27.4842,0
1147.2652,-11.1820,0.0000,3.1180,27.4947,0
1146.1145,-11.1552,0.0000,3.1186,27.5695,0
1145.0407,-11.1175,0.0000,3.1186,27.7194,0
1144.0350,-11.0912,0.0000,3.1186,27.7807,0
1142.8844,-11.0532,0.0000,3.1178,27.7714,0
1139.6457,-10.9623,0.0000,3.1174,27.9006,0
1138.5633,-10.9357,0.0000,3.1165,27.9452,0
1137.4894,-10.9092,0.0000,3.1155,27.9037,0
1136.4070,-10.8715,0.0000,3.1142,27.8832,0
1135.3247,-10.8338,0.0000,3.1134,27.9397,0
1134.2338,-10.7960,0.0000,3.1124,27.9730,0
1133.1514,-10.7583,0.0000,3.1115,28.0386,0
1132.1372,-10.7209,0.0000,3.1109,28.0842,0
1131.1315,-10.6946,0.0000,3.1111,28.0286,0
1130.0491,-10.6458,0.0000,3.1105,28.0509,0
1129.0349,-10.6195,0.0000,3.1103,28.0838,0
1126.2225,-10.5192,0.0000,3.1100,28.1926,0
1125.2083,-10.4818,0.0000,3.1096,28.2166,0
1124.1856,-10.4443,0.0000,3.1094,28.1940,0
1123.1032,-10.4066,0.0000,3.1092,28.0413,0
1122.0890,-10.3692,0.0000,3.1094,27.9634,0
1121.0833,-10.3318,0.0000,3.1092,27.8543,0
1120.0095,-10.2830,0.0000,3.1090,27.6124,0
1118.8760,-10.2451,0.0000,3.1088,27.2390,0
1117.8277,-10.2075,0.0000,3.1086,26.9429,0
1116.7113,-10.1586,0.0000,3.1086,26.6461,0
1114.5209,-10.0942,0.0000,3.1082,25.9837,0
1113.4556,-10.0565,0.0000,3.1082,25.5891,0
1112.3988,-10.0189,0.0000,3.1080,25.3032,0
1111.2824,-9.9700,0.0000,3.1080,24.9866,0
1110.1829,-9.9322,0.0000,3.1078,24.6008,0
1109.1006,-9.8834,0.0000,3.1078,24.1734,0
1108.0438,-9.8458,0.0000,3.1075,23.7334,0
1106.9359,-9.8080,0.0000,3.1073,23.3817,0
1105.8961,-9.7704,0.0000,3.1071,23.0848,0
1103.5099,-9.6608,0.0000,3.1071,22.2512,0
1102.4786,-9.6233,0.0000,3.1071,21.8869,0
1101.3877,-9.5856,0.0000,3.1069,21.7446,0
1100.3054,-9.5368,0.0000,3.1069,21.8430,0
1099.2060,-9.4990,0.0000,3.1069,21.9520,0
1098.1066,-9.4612,0.0000,3.1069,22.0512,0
1097.0668,-9.4237,0.0000,3.1069,22.1497,0
1095.9674,-9.3748,0.0000,3.1069,22.1512,0
1094.8680,-9.3259,0.0000,3.1069,22.0971,0
1092.4221,-9.2272,0.0000,3.1067,21.9312,0
1091.3398,-9.1783,0.0000,3.1059,21.7022,0
1090.2744,-9.1407,0.0000,3.1054,21.3509,0
1089.2177,-9.0920,0.0000,3.1054,20.9575,0
1088.1865,-9.0434,0.0000,3.1050,20.5816,0
1087.1638,-9.0059,0.0000,3.1048,20.2267,0
1086.0644,-8.9681,0.0000,3.1046,19.7212,0
1084.1212,-8.8936,0.0000,3.1040,19.0185,0
1083.0815,-8.8450,0.0000,3.1036,18.6668,0
1082.0589,-8.7964,0.0000,3.1036,18.2838,0
1080.9594,-8.7586,0.0000,3.1036,17.8630,0
1079.8941,-8.7210,0.0000,3.1032,17.4364,0
1078.8459,-8.6723,0.0000,3.1025,17.0293,0
1077.8146,-8.6348,0.0000,3.1023,16.7549,0
1076.0335,-8.5499,0.0000,3.1019,16.2731,0
1074.9597,-8.5011,0.0000,3.1019,15.9974,0
1073.9029,-8.4635,0.0000,3.1031,15.7436,0
1072.8717,-8.4149,0.0000,3.1046,15.4460,0
1071.7894,-8.3661,0.0000,3.1061,15.1143,0
1070.7070,-8.3172,0.0000,3.1069,14.8641,0
1068.6105,-8.2310,0.0000,3.1040,14.3705,0
1067.5793,-8.1935,0.0000,3.1031,14.1818,0
1066.5225,-8.1448,0.0000,3.1023,14.0171,0
1065.4828,-8.1072,0.0000,3.1013,13.8756,0
1064.4601,-8.0587,0.0000,3.1004,13.6658,0
1062.3551,-7.9724,0.0000,3.0996,13.1709,0
1061.2983,-7.9237,0.0000,3.0983,13.0299,0
1060.2330,-7.8749,0.0000,3.0988,12.8433,0
1059.1677,-7.8262,0.0000,3.0996,12.7111,0
1057.3185,-7.7298,0.0000,3.1013,12.3265,0
1056.2957,-7.6924,0.0000,3.1021,12.0929,0
1055.2901,-7.6439,0.0000,3.1029,11.5664,0
1054.2760,-7.5953,0.0000,3.1036,10.7190,0
1053.2703,-7.5579,0.0000,3.1042,9.3991,0
